TABLE_NAME	INDEX_NAME	columns	NON_UNIQUE
activity_logs	idx_activity_cover_report	student_id,timestamp,activity_type,session_duration	1
activity_logs	idx_activity_ip	ip_address	1
activity_logs	idx_activity_student_time	student_id,timestamp	1
activity_logs	idx_activity_time	timestamp	1
activity_logs	idx_activity_type	activity_type	1
materials	idx_materials_type	file_type	1
materials	idx_materials_upload_date	upload_date	1
materials	uq_materials_course_path	course_id,file_path	0
sensor_readings	idx_readings_status_time	status,timestamp	1
sensor_readings	idx_readings_time	timestamp	1
sensor_readings	uq_sensor_readings	sensor_id,timestamp	0
sensors	idx_sensors_room_type	room_id,sensor_type	1
sensors	idx_sensors_type	sensor_type	1
students	fk_students_department	department_id	1
students	idx_students_status	status	1
students	uq_students_email	email	0
students	uq_students_reg_no	reg_no	0
